"price"	"totsp"	"livesp"	"kitsp"	"dist"	"metrdist"
83 	 64 	 42 	 9 	 17.0 	 10
107 	 67 	 41 	 9 	 12.5 	 10
160 	 101 	 51 	 15 	 7.0 	 7
127 	 76 	 54 	 6 	 9.0 	 5
83 	 57 	 44 	 6 	 17.0 	 10
88 	 51 	 34 	 6 	 14.5 	 10
125 	 64 	 44 	 9 	 12.0 	 12
145 	 75 	 45 	 10 	 7.0 	 15
96 	 68 	 45 	 10 	 12.5 	 15
140 	 78 	 46 	 9 	 10.5 	 10
119 	 77 	 53 	 8 	 10.5 	 10
83 	 55 	 37 	 6 	 12.0 	 5
133 	 75 	 52 	 9 	 3.0 	 15
89 	 60 	 38 	 6 	 13.5 	 7
85 	 60 	 44 	 6 	 7.0 	 7
81 	 60 	 46 	 6 	 14.5 	 15
105 	 65 	 39 	 8 	 12.0 	 5
119 	 77 	 40 	 10 	 12.7 	 5
148 	 84 	 52 	 8 	 6.5 	 3
89 	 62 	 38 	 9 	 13.0 	 4
95 	 74 	 45 	 8 	 14.5 	 5
103 	 74 	 45 	 9 	 13.0 	 10
77 	 51 	 34 	 6 	 7.0 	 7
107 	 75 	 44 	 8 	 12.0 	 10
84 	 60 	 44 	 6 	 13.5 	 7
144 	 95 	 62 	 11 	 10.0 	 10
140 	 74 	 45 	 10 	 12.5 	 2
85 	 61 	 45 	 6 	 13.5 	 15
113 	 80 	 46 	 10 	 13.0 	 10
210 	 80 	 49 	 10 	 12.5 	 5
115 	 77 	 45 	 7 	 9.0 	 15
83 	 53 	 34 	 6 	 14.5 	 8
138 	 65 	 47 	 9 	 5.0 	 10
98 	 54 	 36 	 5 	 3.5 	 12
105 	 75 	 42 	 8 	 13.5 	 10
108 	 66 	 45 	 10 	 12.0 	 5
140 	 85 	 50 	 8 	 6.5 	 2
92 	 63 	 39 	 8 	 14.5 	 5
120 	 80 	 47 	 9 	 13.5 	 10
88 	 51 	 35 	 6 	 10.5 	 3
105 	 67 	 45 	 9 	 12.0 	 7
106 	 76 	 46 	 10 	 13.0 	 5
112 	 72 	 51 	 8 	 6.5 	 5
114 	 76 	 45 	 10 	 12.0 	 15
105 	 66 	 44 	 7 	 13.5 	 7
128 	 84 	 53 	 10 	 12.0 	 5
111 	 57 	 40 	 6 	 9.0 	 3
110 	 76 	 45 	 10 	 13.0 	 10
106 	 83 	 44 	 10 	 12.0 	 10
97 	 72 	 43 	 10 	 12.7 	 10
140 	 76 	 44 	 10 	 12.5 	 5
107 	 56 	 32 	 5 	 7.5 	 7
139 	 73 	 51 	 9 	 7.5 	 10
96 	 60 	 38 	 6 	 12.0 	 5
93 	 55 	 39 	 6 	 8.0 	 10
82 	 60 	 45 	 6 	 13.5 	 10
114 	 68 	 44 	 8 	 10.5 	 10
115 	 80 	 45 	 10 	 13.5 	 10
175 	 79 	 47 	 9 	 14.5 	 7
180 	 90 	 58 	 8 	 10.5 	 2
87 	 55 	 38 	 5 	 6.5 	 5
145 	 73 	 43 	 11 	 9.0 	 10
105 	 64 	 45 	 6 	 13.5 	 7
170 	 80 	 50 	 8 	 9.0 	 15
190 	 106 	 58 	 24 	 9.0 	 5
105 	 63 	 39 	 8 	 12.5 	 10
115 	 64 	 38 	 8 	 14.5 	 7
112 	 77 	 45 	 10 	 10.0 	 7
106 	 63 	 44 	 7 	 12.5 	 10
115 	 79 	 46 	 10 	 12.7 	 10
127 	 92 	 50 	 11 	 6.5 	 10
95 	 64 	 45 	 6 	 12.5 	 10
150 	 54 	 39 	 6 	 7.0 	 3
101 	 66 	 39 	 8 	 17.0 	 10
100 	 83 	 53 	 10 	 12.0 	 15
140 	 77 	 45 	 10 	 10.0 	 5
85 	 57 	 37 	 5 	 12.0 	 7
220 	 107 	 71 	 9 	 9.0 	 10
160 	 75 	 44 	 10 	 12.0 	 5
135 	 84 	 55 	 11 	 3.0 	 15
135 	 82 	 46 	 13 	 12.0 	 5
100 	 78 	 44 	 9 	 13.5 	 20
86 	 53 	 36 	 7 	 11.5 	 5
94 	 64 	 45 	 7 	 12.5 	 12
79 	 51 	 34 	 6 	 13.5 	 5
189 	 80 	 52 	 10 	 7.0 	 1
180 	 91 	 58 	 8 	 11.0 	 2
117 	 79 	 45 	 13 	 14.5 	 7
165 	 100 	 54 	 12 	 6.5 	 3
155 	 74 	 43 	 10 	 9.0 	 5
140 	 80 	 45 	 13 	 13.5 	 5
103 	 67 	 43 	 9 	 15.5 	 7
130 	 96 	 57 	 9 	 7.5 	 5
119 	 80 	 48 	 10 	 12.7 	 12
115 	 75 	 42 	 8 	 12.0 	 15
99 	 62 	 45 	 6 	 13.5 	 10
121 	 79 	 45 	 13 	 12.0 	 7
87 	 58 	 38 	 6 	 12.0 	 15
135 	 72 	 46 	 8 	 10.0 	 5
116 	 77 	 45 	 18 	 6.0 	 7
105 	 65 	 40 	 7 	 17.0 	 10
96 	 63 	 38 	 8 	 12.5 	 15
97 	 64 	 45 	 7 	 13.5 	 10
450 	 145 	 82 	 14 	 4.5 	 3
95 	 64 	 45 	 7 	 12.5 	 10
100 	 76 	 45 	 10 	 12.0 	 15
130 	 82 	 37 	 12 	 6.0 	 10
250 	 74 	 56 	 8 	 4.5 	 7
265 	 100 	 56 	 14 	 7.0 	 10
73 	 53 	 34 	 6 	 7.5 	 3
108 	 65 	 40 	 8 	 17.0 	 5
175 	 95 	 48 	 12 	 10.0 	 2
138 	 66 	 44 	 14 	 4.5 	 2
93 	 60 	 38 	 8 	 12.0 	 5
104 	 67 	 44 	 10 	 11.5 	 8
140 	 83 	 53 	 12 	 12.0 	 15
85 	 60 	 43 	 6 	 12.0 	 5
106 	 76 	 43 	 12 	 13.0 	 5
85 	 60 	 38 	 6 	 17.0 	 7
103 	 77 	 46 	 11 	 13.0 	 5
168 	 104 	 60 	 16 	 12.0 	 10
245 	 85 	 54 	 12 	 9.0 	 7
470 	 146 	 86 	 16 	 14.5 	 5
135 	 70 	 40 	 9 	 15.5 	 10
100 	 75 	 45 	 10 	 13.5 	 5
92 	 70 	 50 	 6 	 12.0 	 5
130 	 72 	 42 	 9 	 12.0 	 5
93 	 70 	 50 	 9 	 12.5 	 10
145 	 75 	 46 	 10 	 7.0 	 10
205 	 88 	 59 	 9 	 9.0 	 10
87 	 64 	 45 	 9 	 15.5 	 12
99 	 79 	 62 	 6 	 17.0 	 2
